team,year,overall_wins,overall_losses,home_wins,home_losses,road_wins,road_losses,home_total_attendance,home_avg_attendance,road_avg_attendance,overall_avg_attendance,average_elo
Sacramento Kings,2001,61,21,36,5,25,16,709997.0,17317.0,18438.0,17877.0,1618.9217390243903
Los Angeles Lakers,2001,58,24,34,7,24,17,776336.0,18935.0,19628.0,19281.0,1618.2136804878048
San Antonio Spurs,2001,58,24,32,9,26,15,913175.0,22272.0,16690.0,19481.0,1657.4707256097563
Dallas Mavericks,2001,57,25,30,11,27,14,680138.0,16588.0,15761.0,16175.0,1577.1038804878049
Brooklyn Nets,2001,52,30,33,8,19,22,566077.0,13806.0,16085.0,14946.0,1391.4590658536586
Detroit Pistons,2001,50,32,26,15,24,17,607323.0,14812.0,16397.0,15604.0,1447.7255902439024
Minnesota Timberwolves,2001,50,32,29,12,21,20,717371.0,17496.0,16787.0,17142.0,1549.6740280487804
Boston Celtics,2001,49,33,27,14,22,19,629201.0,15346.0,16436.0,15891.0,1448.9778719512194
Portland Trail Blazers,2001,49,33,30,11,19,22,831385.0,20277.0,17037.0,18657.0,1632.4534329268292
Oklahoma City Thunder,2001,45,37,26,15,19,22,640847.0,15630.0,16497.0,16063.0,1515.7593243902438
New Orleans Pelicans,2001,44,38,21,20,23,18,615424.0,15010.0,16500.0,15755.0,1563.9649402439024
Orlando Magic,2001,44,38,27,14,17,24,605031.0,14756.0,16810.0,15783.0,1512.196531707317
Utah Jazz,2001,44,38,25,16,19,22,792196.0,19321.0,16989.0,18155.0,1610.0879695121953
Philadelphia 76ers,2001,43,39,22,19,21,20,805692.0,19651.0,18582.0,19116.0,1618.3245365853659
Indiana Pacers,2001,42,40,25,16,17,24,733444.0,17888.0,16508.0,17198.0,1520.23355
Toronto Raptors,2001,42,40,24,17,18,23,793256.0,19347.0,17611.0,18479.0,1522.7771451219512
Milwaukee Bucks,2001,41,41,25,16,16,25,683125.0,16661.0,16584.0,16623.0,1553.0888939024392
Los Angeles Clippers,2001,39,43,25,16,14,27,599448.0,14620.0,15823.0,15222.0,1358.1049804878048
Washington Wizards,2001,37,45,22,19,15,26,638653.0,15576.0,15872.0,15724.0,1349.9587475609756
Miami Heat,2001,36,46,18,23,18,23,677186.0,16516.0,17046.0,16781.0,1571.6694121951218
Phoenix Suns,2001,36,46,23,18,13,28,737586.0,17989.0,17157.0,17573.0,1581.0164231707317
Atlanta Hawks,2001,33,49,23,18,10,31,560324.0,13666.0,16403.0,15035.0,1355.307580487805
New York Knicks,2001,30,52,19,22,11,30,810283.0,19763.0,17680.0,18721.0,1543.1086829268293
Cleveland Cavaliers,2001,29,53,20,21,9,32,650775.0,15872.0,16064.0,15968.0,1415.925218292683
Houston Rockets,2001,28,54,18,23,10,31,518555.0,12647.0,16714.0,14680.0,1541.56015
Denver Nuggets,2001,27,55,20,21,7,34,619300.0,15104.0,16403.0,15754.0,1468.6875390243904
Memphis Grizzlies,2001,23,59,15,26,8,33,563218.0,13737.0,15822.0,14779.0,1376.9194
Chicago Bulls,2001,21,61,14,27,7,34,888654.0,21674.0,16336.0,19005.0,1262.6468743902437
Golden State Warriors,2001,21,61,14,27,7,34,591981.0,14438.0,16058.0,15248.0,1326.936695121951
Dallas Mavericks,2002,60,22,33,8,27,14,802783.0,19580.0,17049.0,18314.0,1611.9967682926826
San Antonio Spurs,2002,60,22,33,8,27,14,906390.0,22107.0,17248.0,19677.0,1653.3660243902439
Sacramento Kings,2002,59,23,35,6,24,17,709997.0,17317.0,17701.0,17509.0,1658.2344865853659
Minnesota Timberwolves,2002,51,31,33,8,18,23,731673.0,17845.0,16961.0,17403.0,1593.1114865853658
Detroit Pistons,2002,50,32,30,11,20,21,760807.0,18556.0,16417.0,17486.0,1514.7880402439025
Los Angeles Lakers,2002,50,32,31,10,19,22,778877.0,18997.0,20102.0,19549.0,1690.5573182926828
Portland Trail Blazers,2002,50,32,27,14,23,18,797821.0,19459.0,16483.0,17971.0,1563.349430487805
Brooklyn Nets,2002,49,33,33,8,16,25,564194.0,13760.0,16403.0,15082.0,1522.5428780487805
Indiana Pacers,2002,48,34,32,9,16,25,686537.0,16744.0,16677.0,16711.0,1495.1340987804879
Philadelphia 76ers,2002,48,34,25,16,23,18,842976.0,20560.0,18720.0,19640.0,1543.7280951219514
New Orleans Pelicans,2002,47,35,29,12,18,23,462738.0,11286.0,16457.0,13871.0,1525.7318097560976
Utah Jazz,2002,47,35,29,12,18,23,766108.0,18685.0,16667.0,17676.0,1554.571912195122
Boston Celtics,2002,44,38,25,16,19,22,659751.0,16091.0,17576.0,16833.0,1517.5011463414635
Phoenix Suns,2002,44,38,30,11,14,27,668939.0,16315.0,16765.0,16540.0,1521.1678548780487
Houston Rockets,2002,43,39,28,13,15,26,481227.0,11737.0,16551.0,14144.0,1456.771524390244
Milwaukee Bucks,2002,42,40,25,16,17,24,745305.0,18178.0,17043.0,17610.0,1549.5378109756098
Orlando Magic,2002,42,40,26,15,16,25,621121.0,15149.0,17345.0,16247.0,1526.234893902439
Oklahoma City Thunder,2002,40,42,25,16,15,26,633516.0,15451.0,16013.0,15732.0,1566.7233158536585
Golden State Warriors,2002,38,44,24,17,14,27,593182.0,14467.0,16202.0,15335.0,1331.5438036585365
New York Knicks,2002,37,45,24,17,13,28,810283.0,19763.0,17082.0,18422.0,1432.802154878049
Washington Wizards,2002,37,45,23,18,14,27,847634.0,20674.0,19939.0,20306.0,1426.1780268292684
Atlanta Hawks,2002,35,47,26,15,9,32,506110.0,12344.0,16315.0,14329.0,1388.1355097560975
Chicago Bulls,2002,30,52,27,14,3,38,776311.0,18934.0,16000.0,17467.0,1292.6427780487804
Memphis Grizzlies,2002,28,54,20,21,8,33,591030.0,14415.0,15841.0,15128.0,1342.8254585365855
Los Angeles Clippers,2002,27,55,16,25,11,30,740185.0,18053.0,16569.0,17311.0,1498.5698609756098
Miami Heat,2002,25,57,16,25,9,32,655549.0,15989.0,16702.0,16345.0,1452.4142707317073
Toronto Raptors,2002,24,58,15,26,9,32,811135.0,19783.0,17200.0,18492.0,1521.2749353658537
Cleveland Cavaliers,2002,17,65,14,27,3,38,596115.0,14539.0,15809.0,15174.0,1388.2052146341464
Denver Nuggets,2002,17,65,13,28,4,37,633846.0,15459.0,16396.0,15928.0,1412.6297987804878
Indiana Pacers,2003,61,21,34,7,27,14,670461.0,16352.0,16856.0,16604.0,1555.0424658536585
Minnesota Timberwolves,2003,58,24,31,10,27,14,643684.0,15699.0,16657.0,16178.0,1559.8225658536585
San Antonio Spurs,2003,57,25,33,8,24,17,735970.0,17950.0,16559.0,17255.0,1646.3458280487805
Los Angeles Lakers,2003,56,26,34,7,22,19,777888.0,18972.0,19107.0,19040.0,1593.3412841463414
Sacramento Kings,2003,55,27,34,7,21,20,709997.0,17317.0,17924.0,17620.0,1663.2654524390243
Detroit Pistons,2003,54,28,31,10,23,18,839278.0,20470.0,16053.0,18261.0,1589.701207317073
Dallas Mavericks,2003,52,30,36,5,16,25,816429.0,19912.0,17618.0,18765.0,1694.3561536585366
Memphis Grizzlies,2003,50,32,31,10,19,22,611322.0,14910.0,16277.0,15593.0,1386.7209024390245
Brooklyn Nets,2003,47,35,28,13,19,22,622574.0,15184.0,16956.0,16070.0,1597.8479963414636
Houston Rockets,2003,45,37,27,14,18,23,565166.0,13784.0,17919.0,15851.0,1501.5162926829269
Denver Nuggets,2003,43,39,29,12,14,27,607813.0,14824.0,16299.0,15562.0,1336.3920756097561
Miami Heat,2003,42,40,29,12,13,28,628242.0,15322.0,15844.0,15583.0,1418.229819512195
Utah Jazz,2003,42,40,28,13,14,27,786034.0,19171.0,16585.0,17878.0,1559.3945890243901
Milwaukee Bucks,2003,41,41,27,14,14,27,665966.0,16243.0,16327.0,16285.0,1480.3406951219513
New Orleans Pelicans,2003,41,41,25,16,16,25,641683.0,15650.0,16481.0,16066.0,1541.4096963414636
Portland Trail Blazers,2003,41,41,25,16,16,25,796250.0,19420.0,16458.0,17939.0,1587.5946597560976
New York Knicks,2003,39,43,23,18,16,25,779479.0,19011.0,17104.0,18058.0,1442.3498670731708
Golden State Warriors,2003,37,45,27,14,10,31,634935.0,15486.0,16297.0,15891.0,1439.0334817073172
Oklahoma City Thunder,2003,37,45,21,20,16,25,637194.0,15541.0,16243.0,15892.0,1510.8633341463415
Boston Celtics,2003,36,46,19,22,17,24,709049.0,17293.0,17263.0,17278.0,1525.3838658536586
Cleveland Cavaliers,2003,35,47,23,18,12,29,471374.0,11496.0,16087.0,13792.0,1316.7494585365853
Philadelphia 76ers,2003,33,49,21,20,12,29,807097.0,19685.0,18408.0,19046.0,1545.85325
Toronto Raptors,2003,33,49,18,23,15,26,777507.0,18963.0,16509.0,17736.0,1396.0576670731707
Phoenix Suns,2003,29,53,18,23,11,30,666559.0,16257.0,16318.0,16288.0,1520.9743512195123
Atlanta Hawks,2003,28,54,18,23,10,31,528655.0,12894.0,16294.0,14594.0,1423.2803256097561
Los Angeles Clippers,2003,28,54,18,23,10,31,706471.0,17231.0,16276.0,16753.0,1425.5222134146343
Washington Wizards,2003,25,57,17,24,8,33,827092.0,20172.0,19311.0,19742.0,1472.8024195121952
Chicago Bulls,2003,23,59,14,27,9,32,804303.0,19617.0,16268.0,17942.0,1364.2428914634147
Orlando Magic,2003,21,61,11,30,10,31,605901.0,14778.0,17305.0,16041.0,1496.4822524390245
Phoenix Suns,2004,62,20,31,10,31,10,670385.0,16350.0,16461.0,16406.0,1449.0643524390243
Miami Heat,2004,59,23,35,6,24,17,624809.0,15239.0,16524.0,15881.0,1439.815824390244
San Antonio Spurs,2004,59,23,38,3,21,20,739706.0,18041.0,17347.0,17694.0,1682.2878548780488
Dallas Mavericks,2004,58,24,29,12,29,12,825594.0,20136.0,17452.0,18794.0,1616.368186585366
Detroit Pistons,2004,54,28,32,9,22,19,872902.0,21290.0,17127.0,19209.0,1596.6079256097562
Oklahoma City Thunder,2004,52,30,26,15,26,15,625474.0,15255.0,16842.0,16049.0,1492.8221646341462
Houston Rockets,2004,51,31,26,15,25,16,640794.0,15629.0,17768.0,16698.0,1566.802231707317
Sacramento Kings,2004,50,32,30,11,20,21,709997.0,17317.0,17813.0,17565.0,1653.6094353658536
Denver Nuggets,2004,49,33,31,10,18,23,721476.0,17596.0,17184.0,17390.0,1478.6649475609756
Chicago Bulls,2004,47,35,27,14,20,21,809177.0,19736.0,16517.0,18126.0,1354.4729195121952
Boston Celtics,2004,45,37,27,14,18,23,664248.0,16201.0,16955.0,16578.0,1458.7571975609758
Memphis Grizzlies,2004,45,37,26,15,19,22,622723.0,15188.0,16695.0,15941.0,1540.3977841463416
Washington Wizards,2004,45,37,29,12,16,25,645363.0,15740.0,16008.0,15874.0,1381.457469512195
Indiana Pacers,2004,44,38,25,16,19,22,678326.0,16544.0,17710.0,17127.0,1601.94091097561
Minnesota Timberwolves,2004,44,38,24,17,20,21,723071.0,17635.0,17862.0,17749.0,1625.8815195121954
Philadelphia 76ers,2004,43,39,25,16,18,23,788128.0,19222.0,17672.0,18447.0,1475.3504109756097
Brooklyn Nets,2004,42,40,24,17,18,23,613051.0,14952.0,17358.0,16155.0,1579.259825609756
Cleveland Cavaliers,2004,42,40,29,12,13,28,749790.0,18287.0,18755.0,18521.0,1384.7094926829268
Los Angeles Clippers,2004,37,45,27,14,10,31,665396.0,16229.0,16258.0,16243.0,1428.5291170731707
Orlando Magic,2004,36,46,24,17,12,29,589144.0,14369.0,16793.0,15581.0,1373.41915
Golden State Warriors,2004,34,48,20,21,14,27,665648.0,16235.0,15885.0,16060.0,1474.607625609756
Los Angeles Lakers,2004,34,48,22,19,12,29,777757.0,18969.0,19380.0,19175.0,1621.0469121951219
New York Knicks,2004,33,49,22,19,11,30,785739.0,19164.0,17589.0,18376.0,1460.6157207317074
Toronto Raptors,2004,33,49,22,19,11,30,750608.0,18307.0,16480.0,17394.0,1404.1303048780487
Milwaukee Bucks,2004,30,52,23,18,7,34,690180.0,16833.0,16213.0,16523.0,1514.5975085365853
Portland Trail Blazers,2004,27,55,18,23,9,32,684038.0,16683.0,16282.0,16483.0,1517.672836585366
Utah Jazz,2004,26,56,18,23,8,33,785330.0,19154.0,16537.0,17845.0,1497.399937804878
New Orleans Pelicans,2004,18,64,11,30,7,34,587613.0,14332.0,16679.0,15505.0,1517.097667073171
Atlanta Hawks,2004,13,69,9,32,4,37,565728.0,13798.0,16282.0,15040.0,1400.8164207317075
Detroit Pistons,2005,64,18,37,4,27,14,905116.0,22076.0,17868.0,19972.0,1603.1165634146341
San Antonio Spurs,2005,63,19,34,7,29,12,750970.0,18316.0,17419.0,17868.0,1719.231101219512
Dallas Mavericks,2005,60,22,34,7,26,15,822533.0,20061.0,17259.0,18660.0,1623.0534012195124
Phoenix Suns,2005,54,28,31,10,23,18,726066.0,17708.0,17570.0,17639.0,1626.5994975609756
Miami Heat,2005,52,30,31,10,21,20,815143.0,19881.0,18891.0,19386.0,1625.7742012195122
Cleveland Cavaliers,2005,50,32,31,10,19,22,784249.0,19128.0,18275.0,18701.0,1492.1224146341463
Memphis Grizzlies,2005,49,33,30,11,19,22,691362.0,16862.0,16621.0,16742.0,1560.8149402439024
Brooklyn Nets,2005,49,33,29,12,20,21,618681.0,15089.0,16624.0,15857.0,1451.1908695121951
Los Angeles Clippers,2005,47,35,27,14,20,21,696181.0,16980.0,16735.0,16857.0,1460.3311097560975
Los Angeles Lakers,2005,45,37,27,14,18,23,770494.0,18792.0,18810.0,18801.0,1521.765263414634
Denver Nuggets,2005,44,38,26,15,18,23,723949.0,17657.0,17506.0,17582.0,1520.4959024390243
Sacramento Kings,2005,44,38,27,14,17,24,709997.0,17317.0,17702.0,17509.0,1587.7856292682927
Washington Wizards,2005,42,40,27,14,15,26,705069.0,17196.0,16862.0,17029.0,1469.1458170731707
Chicago Bulls,2005,41,41,21,20,20,21,828384.0,20204.0,17334.0,18769.0,1457.457224390244
Indiana Pacers,2005,41,41,27,14,14,27,696764.0,16994.0,16895.0,16944.0,1543.069574390244
Utah Jazz,2005,41,41,22,19,19,22,769014.0,18756.0,16923.0,17839.0,1435.8578146341465
Milwaukee Bucks,2005,40,42,25,16,15,26,637009.0,15536.0,16651.0,16094.0,1440.8331012195122
New Orleans Pelicans,2005,38,44,24,17,14,27,583070.0,14221.0,16690.0,15456.0,1372.6318743902439
Philadelphia 76ers,2005,38,44,23,18,15,26,732686.0,17870.0,17933.0,17902.0,1454.1819414634147
Orlando Magic,2005,36,46,26,15,10,31,597942.0,14583.0,17510.0,16047.0,1420.9937268292683
Oklahoma City Thunder,2005,35,47,22,19,13,28,675490.0,16475.0,17029.0,16752.0,1583.504945121951
Golden State Warriors,2005,34,48,21,20,13,28,670368.0,16350.0,16708.0,16529.0,1428.4577853658536
Houston Rockets,2005,34,48,15,26,19,22,663444.0,16181.0,18183.0,17182.0,1560.2454536585367
Boston Celtics,2005,33,49,21,20,12,29,656081.0,16001.0,17216.0,16609.0,1495.785593902439
Minnesota Timberwolves,2005,33,49,24,17,9,32,704438.0,17181.0,17874.0,17527.0,1556.031219512195
Toronto Raptors,2005,27,55,15,26,12,29,703388.0,17155.0,16677.0,16916.0,1428.540598780488
Atlanta Hawks,2005,26,56,18,23,8,33,586390.0,14302.0,16730.0,15516.0,1302.470062195122
Charlotte Hornets,2005,26,56,17,24,9,32,591701.0,14431.0,16717.0,15574.0,1278.0913463414633
New York Knicks,2005,23,59,15,26,8,33,800144.0,19515.0,17540.0,18528.0,1427.1802097560976
Portland Trail Blazers,2005,21,61,15,26,6,35,680374.0,16594.0,16658.0,16626.0,1448.2701390243903
Dallas Mavericks,2006,67,15,36,5,31,10,824693.0,20114.0,17591.0,18853.0,1670.5285707317075
Phoenix Suns,2006,61,21,33,8,28,13,730179.0,17809.0,17694.0,17751.0,1646.1250317073172
San Antonio Spurs,2006,58,24,31,10,27,14,770677.0,18797.0,18376.0,18586.0,1683.4544085365853
Detroit Pistons,2006,53,29,26,15,27,14,905116.0,22076.0,18637.0,20356.0,1701.013125609756
Houston Rockets,2006,52,30,28,13,24,17,636110.0,15514.0,17554.0,16534.0,1511.1037158536585
Utah Jazz,2006,51,31,31,10,20,21,751621.0,18332.0,17048.0,17690.0,1436.4769719512194
Cleveland Cavaliers,2006,50,32,30,11,20,21,792391.0,19326.0,18800.0,19063.0,1531.105193902439
Chicago Bulls,2006,49,33,31,10,18,23,868720.0,21188.0,17397.0,19292.0,1498.2483573170732
Toronto Raptors,2006,47,35,30,11,17,24,699332.0,17056.0,16595.0,16826.0,1406.3006365853657
Denver Nuggets,2006,45,37,23,18,22,19,702645.0,17137.0,17637.0,17387.0,1535.4317512195123
Miami Heat,2006,44,38,27,14,17,24,818149.0,19954.0,18991.0,19473.0,1616.7331182926828
Golden State Warriors,2006,42,40,30,11,12,29,749185.0,18272.0,16775.0,17524.0,1478.9400036585366
Los Angeles Lakers,2006,42,40,25,16,17,24,774189.0,18882.0,18812.0,18847.0,1514.9794365853659
Brooklyn Nets,2006,41,41,24,17,17,24,691543.0,16866.0,17710.0,17288.0,1535.5599707317074
Washington Wizards,2006,41,41,26,15,15,26,705062.0,17196.0,17291.0,17244.0,1498.9371963414633
Orlando Magic,2006,40,42,25,16,15,26,638005.0,15561.0,17084.0,16322.0,1412.3433963414634
Los Angeles Clippers,2006,40,42,25,16,15,26,712409.0,17375.0,16944.0,17160.0,1529.5475024390244
New Orleans Pelicans,2006,39,43,24,17,15,26,744920.0,18168.0,16659.0,17414.0,1443.967437804878
Indiana Pacers,2006,35,47,22,19,13,28,663368.0,16179.0,17624.0,16902.0,1528.8704731707319
Philadelphia 76ers,2006,35,47,21,20,14,27,677278.0,16518.0,18627.0,17573.0,1466.710662195122
Charlotte Hornets,2006,33,49,20,21,13,28,671011.0,16366.0,17117.0,16741.0,1354.564092682927
New York Knicks,2006,33,49,19,22,14,27,776176.0,18931.0,17572.0,18251.0,1362.657007317073
Sacramento Kings,2006,33,49,20,21,13,28,709997.0,17317.0,17101.0,17209.0,1514.1866499999999
Minnesota Timberwolves,2006,32,50,20,21,12,29,662167.0,16150.0,17421.0,16785.0,1493.8701414634145
Portland Trail Blazers,2006,32,50,18,23,14,27,617019.0,15049.0,17144.0,16097.0,1351.8621341463415
Oklahoma City Thunder,2006,31,51,20,21,11,30,664157.0,16198.0,17195.0,16697.0,1458.0431914634146
Atlanta Hawks,2006,30,52,18,23,12,29,617942.0,15071.0,17067.0,16069.0,1309.4960048780488
Milwaukee Bucks,2006,28,54,18,23,10,31,681337.0,16617.0,17119.0,16868.0,1443.1598841463415
Boston Celtics,2006,24,58,12,29,12,29,692873.0,16899.0,17920.0,17409.0,1471.0040682926829
Memphis Grizzlies,2006,22,60,14,27,8,33,647533.0,15793.0,17211.0,16502.0,1558.848868292683
Boston Celtics,2007,66,16,35,6,31,10,690576.0,16843.0,17570.0,17206.0,1389.8860085365855
Detroit Pistons,2007,59,23,34,7,25,16,905116.0,22076.0,18001.0,20038.0,1606.2855463414635
Los Angeles Lakers,2007,57,25,30,11,27,14,778415.0,18985.0,18917.0,18951.0,1536.4421902439026
New Orleans Pelicans,2007,56,26,30,11,26,15,731165.0,17833.0,16981.0,17407.0,1451.9541341463414
San Antonio Spurs,2007,56,26,34,7,22,19,764823.0,18654.0,17464.0,18059.0,1676.9656170731707
Houston Rockets,2007,55,27,31,10,24,17,678362.0,16545.0,18187.0,17366.0,1578.5224646341462
Phoenix Suns,2007,55,27,30,11,25,16,755302.0,18422.0,18541.0,18481.0,1654.4460036585365
Utah Jazz,2007,54,28,37,4,17,24,802214.0,19566.0,17501.0,18533.0,1568.827480487805
Orlando Magic,2007,52,30,25,16,27,14,700887.0,17094.0,17470.0,17282.0,1494.7826841463414
Dallas Mavericks,2007,51,31,34,7,17,24,834411.0,20351.0,17821.0,19086.0,1696.3920804878048
Denver Nuggets,2007,50,32,33,8,17,24,706437.0,17230.0,18163.0,17696.0,1511.1707304878048
Golden State Warriors,2007,48,34,27,14,21,20,742267.0,18104.0,17012.0,17558.0,1474.5587475609755
Cleveland Cavaliers,2007,45,37,27,14,18,23,837883.0,20436.0,18940.0,19688.0,1556.8451329268294
Washington Wizards,2007,43,39,25,16,18,23,753283.0,18372.0,17270.0,17821.0,1523.029274390244
Toronto Raptors,2007,41,41,25,16,16,25,748603.0,18258.0,17347.0,17802.0,1478.0529
Portland Trail Blazers,2007,41,41,28,13,13,28,670778.0,16360.0,17558.0,16959.0,1384.5836195121951
Philadelphia 76ers,2007,40,42,22,19,18,23,608603.0,14843.0,17849.0,16346.0,1425.3158158536587
Sacramento Kings,2007,38,44,26,15,12,29,709997.0,17317.0,17282.0,17299.0,1491.7851731707317
Atlanta Hawks,2007,37,45,25,16,12,29,639375.0,15594.0,17170.0,16382.0,1388.6821743902437
Indiana Pacers,2007,36,46,21,20,15,26,629750.0,15359.0,17802.0,16581.0,1464.2923475609757
Brooklyn Nets,2007,34,48,21,20,13,28,693955.0,16925.0,17870.0,17398.0,1483.746993902439
Chicago Bulls,2007,33,49,20,21,13,28,912364.0,22252.0,18153.0,20202.0,1568.0125719512196
Charlotte Hornets,2007,32,50,21,20,11,30,637520.0,15549.0,17477.0,16513.0,1403.588343902439
Milwaukee Bucks,2007,26,56,19,22,7,34,663629.0,16186.0,17350.0,16768.0,1432.917630487805
Los Angeles Clippers,2007,23,59,13,28,10,31,755261.0,18421.0,17406.0,17913.0,1513.3890780487804
New York Knicks,2007,23,59,15,26,8,33,771017.0,18805.0,17984.0,18394.0,1412.1408743902439
Memphis Grizzlies,2007,22,60,14,27,8,33,600836.0,14654.0,17336.0,15995.0,1418.1789
Minnesota Timberwolves,2007,22,60,15,26,7,34,655947.0,15998.0,17894.0,16946.0,1445.9526609756097
Oklahoma City Thunder,2007,20,62,13,28,7,34,654163.0,15955.0,17445.0,16700.0,1456.089042682927
Miami Heat,2007,15,67,9,32,6,35,808541.0,19720.0,18945.0,19332.0,1518.176656097561
Cleveland Cavaliers,2008,66,16,39,2,27,14,839074.0,20465.0,17992.0,19228.0,1531.0315865853659
Los Angeles Lakers,2008,65,17,36,5,29,12,778877.0,18997.0,18671.0,18834.0,1615.108131707317
Boston Celtics,2008,62,20,35,6,27,14,763584.0,18624.0,19042.0,18833.0,1632.4472073170732
Orlando Magic,2008,59,23,32,9,27,14,709346.0,17301.0,17540.0,17420.0,1567.5971048780489
Denver Nuggets,2008,54,28,33,8,21,20,711962.0,17364.0,18115.0,17740.0,1574.4532207317072
Portland Trail Blazers,2008,54,28,34,7,20,21,801566.0,19550.0,16700.0,18125.0,1478.443975609756
San Antonio Spurs,2008,54,28,28,13,26,15,761149.0,18564.0,17954.0,18259.0,1653.1445926829267
Houston Rockets,2008,53,29,33,8,20,21,718524.0,17524.0,17527.0,17526.0,1602.6142573170732
Dallas Mavericks,2008,50,32,32,9,18,23,831738.0,20286.0,17716.0,19001.0,1619.5081536585367
New Orleans Pelicans,2008,49,33,28,13,21,20,581432.0,14181.0,16905.0,15543.0,1586.1719402439026
Utah Jazz,2008,48,34,33,8,15,26,816211.0,19907.0,17215.0,18561.0,1616.797125609756
Atlanta Hawks,2008,47,35,31,10,16,25,667518.0,16280.0,16853.0,16567.0,1435.7425353658537
Phoenix Suns,2008,46,36,28,13,18,23,755302.0,18422.0,18046.0,18234.0,1636.0180463414633
Miami Heat,2008,43,39,28,13,15,26,798004.0,19463.0,17503.0,18483.0,1343.7764634146342
Chicago Bulls,2008,41,41,28,13,13,28,901502.0,21987.0,17353.0,19670.0,1480.9398317073171
Philadelphia 76ers,2008,41,41,24,17,17,24,609675.0,14870.0,17231.0,16050.0,1480.6452073170733
Detroit Pistons,2008,39,43,21,20,18,23,905116.0,22076.0,17714.0,19895.0,1650.4378573170732
Indiana Pacers,2008,36,46,25,16,11,30,501092.0,12221.0,17217.0,14719.0,1437.0906670731706
Charlotte Hornets,2008,35,47,23,18,12,29,603403.0,14717.0,17294.0,16005.0,1418.0348524390245
Milwaukee Bucks,2008,34,48,22,19,12,29,639421.0,15595.0,16738.0,16167.0,1367.535362195122
Brooklyn Nets,2008,34,48,19,22,15,26,641921.0,15656.0,17610.0,16633.0,1433.7874987804878
