team,year,overall_wins,overall_losses,home_wins,home_losses,road_wins,road_losses,home_total_attendance,home_avg_attendance,road_avg_attendance,overall_avg_attendance,average_elo
Oklahoma City Thunder,2016,47,35,28,13,19,22,746323.0,18203.0,18258.0,18230.0,1631.0391846341465
Atlanta Hawks,2016,43,39,23,18,20,21,690150.0,16832.0,17611.0,17222.0,1558.8269355853658
Memphis Grizzlies,2016,43,39,24,17,19,22,684603.0,16697.0,17589.0,17143.0,1524.4269427804877
Indiana Pacers,2016,42,40,29,12,13,28,690733.0,16847.0,17851.0,17349.0,1532.108249585366
Milwaukee Bucks,2016,42,40,23,18,19,22,621808.0,15166.0,17623.0,16394.0,1425.3245971585366
Chicago Bulls,2016,41,41,25,16,16,25,894659.0,21820.0,18156.0,19988.0,1515.5648274146342
Portland Trail Blazers,2016,41,41,25,16,16,25,794085.0,19367.0,17703.0,18535.0,1534.0434250121953
Miami Heat,2016,41,41,23,18,18,23,809350.0,19740.0,18044.0,18892.0,1517.6172728292684
Denver Nuggets,2016,40,42,22,19,18,23,577898.0,14095.0,17751.0,15923.0,1436.5749841341462
Detroit Pistons,2016,37,45,24,17,13,28,677138.0,16515.0,17814.0,17164.0,1509.5725564390243
Charlotte Hornets,2016,36,46,22,19,14,27,716894.0,17485.0,17784.0,17634.0,1507.1167954512196
New Orleans Pelicans,2016,34,48,21,20,13,28,688549.0,16793.0,17851.0,17322.0,1459.0547359756097
Dallas Mavericks,2016,33,49,21,20,12,29,825901.0,20143.0,17727.0,18935.0,1530.8678317073172
Sacramento Kings,2016,32,50,17,24,15,26,707526.0,17256.0,17355.0,17306.0,1441.5420972682925
Minnesota Timberwolves,2016,31,51,20,21,11,30,581178.0,14175.0,17831.0,16003.0,1364.5777256707318
New York Knicks,2016,31,51,19,22,12,29,812292.0,19812.0,18440.0,19126.0,1394.1587258780487
Orlando Magic,2016,29,53,16,25,13,28,719275.0,17543.0,17175.0,17359.0,1422.1147224512194
Philadelphia 76ers,2016,28,54,17,24,11,30,610121.0,14881.0,17491.0,16186.0,1247.4934638414634
Los Angeles Lakers,2016,26,56,17,24,9,32,778877.0,18997.0,19149.0,19073.0,1296.2671454634146
Phoenix Suns,2016,24,58,15,26,9,32,701405.0,17107.0,16881.0,16994.0,1393.6006380121953
Brooklyn Nets,2016,20,62,13,28,7,34,620142.0,15125.0,18106.0,16615.0,1365.7143712195123
Houston Rockets,2017,65,17,34,7,31,10,695903.0,16973.0,18140.0,17556.0,1610.6072679268293
Toronto Raptors,2017,59,23,34,7,25,16,813050.0,19830.0,17925.0,18878.0,1589.7963970487806
Golden State Warriors,2017,58,24,29,12,29,12,803436.0,19596.0,19015.0,19305.0,1744.9635507804878
Boston Celtics,2017,55,27,27,14,28,13,760690.0,18553.0,18313.0,18433.0,1571.984119597561
Philadelphia 76ers,2017,52,30,30,11,22,19,710557.0,17330.0,17209.0,17269.0,1332.761335804878
Cleveland Cavaliers,2017,50,32,29,12,21,20,843042.0,20562.0,19021.0,19791.0,1642.8497034634145
Portland Trail Blazers,2017,49,33,28,13,21,20,792029.0,19317.0,17555.0,18436.0,1520.2359272439026
Indiana Pacers,2017,48,34,27,14,21,20,684578.0,16697.0,17848.0,17272.0,1499.1602269512196
New Orleans Pelicans,2017,48,34,24,17,24,17,663099.0,16173.0,18062.0,17118.0,1418.9918585365854
Oklahoma City Thunder,2017,48,34,27,14,21,20,746323.0,18203.0,18373.0,18288.0,1595.662855012195
Utah Jazz,2017,48,34,28,13,20,21,806605.0,19673.0,17212.0,18442.0,1582.4146924512195
Minnesota Timberwolves,2017,47,35,30,11,17,24,607203.0,14809.0,18113.0,16461.0,1452.6340135243902
San Antonio Spurs,2017,47,35,33,8,14,27,755347.0,18423.0,18131.0,18277.0,1702.0278154512193
Denver Nuggets,2017,46,36,31,10,15,26,605585.0,14770.0,17420.0,16095.0,1479.0328516463414
Miami Heat,2017,44,38,26,15,18,23,805400.0,19643.0,17818.0,18731.0,1512.8743220487804
Milwaukee Bucks,2017,44,38,25,16,19,22,648952.0,15828.0,17928.0,16878.0,1478.5988195975608
Washington Wizards,2017,43,39,23,18,20,21,697107.0,17002.0,17949.0,17476.0,1541.6322112804878
Los Angeles Clippers,2017,42,40,22,19,20,21,782609.0,19088.0,17889.0,18488.0,1607.5720261707315
Detroit Pistons,2017,39,43,25,16,14,27,655141.0,15979.0,17699.0,16839.0,1490.3545002804879
Charlotte Hornets,2017,36,46,21,20,15,26,710643.0,17332.0,17563.0,17448.0,1518.4029901707318
Los Angeles Lakers,2017,35,47,20,21,15,26,776917.0,18949.0,18191.0,18570.0,1368.7400930609756
New York Knicks,2017,29,53,19,22,10,31,810741.0,19774.0,17927.0,18850.0,1419.4466591585365
Brooklyn Nets,2017,28,54,15,26,13,28,632608.0,15429.0,17755.0,16592.0,1311.320139195122
Chicago Bulls,2017,27,55,17,24,10,31,888882.0,21680.0,18033.0,19856.0,1489.3022312195121
Sacramento Kings,2017,27,55,14,27,13,28,721928.0,17608.0,17489.0,17548.0,1433.8111132682925
Orlando Magic,2017,25,57,17,24,8,33,727875.0,17753.0,17333.0,17543.0,1400.8627914390245
Atlanta Hawks,2017,24,58,16,25,8,33,654306.0,15958.0,17816.0,16887.0,1507.0666704756097
Dallas Mavericks,2017,24,58,15,26,9,32,811366.0,19789.0,17519.0,18654.0,1446.330945609756
Memphis Grizzlies,2017,22,60,16,25,6,35,677314.0,16519.0,17655.0,17087.0,1520.9981654390244
Phoenix Suns,2017,21,61,10,31,11,30,708639.0,17283.0,17618.0,17451.0,1362.035019195122
Milwaukee Bucks,2018,60,22,33,8,27,14,685303.0,16714.0,18380.0,17547.0,1510.797831682927
Toronto Raptors,2018,58,24,32,9,26,15,813431.0,19839.0,17673.0,18756.0,1642.212734487805
Golden State Warriors,2018,57,25,30,11,27,14,803436.0,19596.0,18884.0,19240.0,1714.604824804878
Denver Nuggets,2018,54,28,34,7,20,21,702796.0,17141.0,17871.0,17506.0,1542.202079402439
Houston Rockets,2018,53,29,31,10,22,19,716008.0,17900.0,18369.0,18137.0,1680.1627064512193
Portland Trail Blazers,2018,53,29,32,9,21,20,795328.0,19398.0,17556.0,18477.0,1557.7321707195122
Philadelphia 76ers,2018,51,31,31,10,20,21,833503.0,20329.0,18012.0,19185.0,1511.7025860487804
Utah Jazz,2018,50,32,29,12,21,20,734806.0,17922.0,17495.0,17708.0,1570.8502816097562
Boston Celtics,2018,49,33,28,13,21,20,744960.0,18624.0,18588.0,18606.0,1589.5322017560975
Oklahoma City Thunder,2018,49,33,27,14,22,19,746323.0,18203.0,18866.0,18534.0,1561.144022304878
Indiana Pacers,2018,48,34,29,12,19,22,658119.0,16051.0,17749.0,16889.0,1532.9529529756098
Los Angeles Clippers,2018,48,34,26,15,22,19,697812.0,17019.0,17735.0,17373.0,1544.4550097073172
San Antonio Spurs,2018,48,34,32,9,16,25,754562.0,18403.0,18427.0,18415.0,1591.173953390244
Brooklyn Nets,2018,42,40,23,18,19,22,622278.0,15556.0,17687.0,16622.0,1396.708400902439
Orlando Magic,2018,42,40,25,16,17,24,715728.0,17893.0,17651.0,17770.0,1383.097672109756
Detroit Pistons,2018,41,41,26,15,15,26,713945.0,17413.0,17959.0,17686.0,1476.7414972682927
Charlotte Hornets,2018,39,43,25,16,14,27,671404.0,16375.0,17623.0,16999.0,1474.753599
Miami Heat,2018,39,43,19,22,20,21,785250.0,19631.0,18177.0,18895.0,1517.2609190121952
Sacramento Kings,2018,39,43,24,17,15,26,649571.0,17555.0,17478.0,17515.0,1357.5641749390243
Los Angeles Lakers,2018,37,45,22,19,15,26,776327.0,18934.0,18655.0,18796.0,1429.7654415
Minnesota Timberwolves,2018,36,46,25,16,11,30,699308.0,17056.0,17850.0,17453.0,1537.534597792683
Dallas Mavericks,2018,33,49,24,17,9,32,811453.0,19791.0,17374.0,18597.0,1424.4854493902437
Memphis Grizzlies,2018,33,49,21,20,12,29,653863.0,15947.0,17348.0,16648.0,1407.0487816707316
New Orleans Pelicans,2018,33,49,19,22,14,27,673920.0,16437.0,17911.0,17174.0,1521.6102743536585
Washington Wizards,2018,32,50,22,19,10,31,718946.0,17973.0,17682.0,17826.0,1545.4716816829268
Atlanta Hawks,2018,29,53,17,24,12,29,590769.0,14409.0,17854.0,16088.0,1387.7251396219513
Chicago Bulls,2018,22,60,9,32,13,28,851824.0,20776.0,18030.0,19403.0,1415.4965727682927
Cleveland Cavaliers,2018,19,63,13,28,6,35,843042.0,20562.0,19071.0,19825.0,1575.767546695122
Phoenix Suns,2018,19,63,12,29,7,34,674655.0,16866.0,17610.0,17243.0,1330.6467687195122
New York Knicks,2018,17,65,9,32,8,33,792608.0,19331.0,18179.0,18762.0,1426.1390178292684
Milwaukee Bucks,2019,56,17,30,5,26,12,721692.0,17602.0,18185.0,17893.0,1653.7581347317073
Toronto Raptors,2019,53,19,26,10,27,9,812822.0,19824.0,18239.0,19032.0,1632.8109571585367
Los Angeles Lakers,2019,52,19,25,10,27,9,778877.0,18997.0,18862.0,18929.0,1493.7314556585366
Los Angeles Clippers,2019,49,23,27,9,22,14,710327.0,17325.0,17233.0,17279.0,1535.4262951219512
Boston Celtics,2019,48,24,26,10,22,14,763584.0,18624.0,18671.0,18647.0,1588.124429207317
Denver Nuggets,2019,46,27,26,11,20,16,756457.0,18450.0,17474.0,17962.0,1597.3872331707316
Indiana Pacers,2019,45,28,25,11,20,17,689310.0,16812.0,17957.0,17377.0,1583.4875797804877
Houston Rockets,2019,44,28,24,12,20,16,740392.0,18058.0,17921.0,17989.0,1613.3978240121953
Miami Heat,2019,44,29,29,7,15,22,805264.0,19640.0,18176.0,18908.0,1480.984375097561
Oklahoma City Thunder,2019,44,28,23,14,21,14,746323.0,18203.0,17866.0,18034.0,1593.610857902439
Utah Jazz,2019,44,28,23,12,21,16,750546.0,18306.0,17517.0,17911.0,1593.2613734146341
Dallas Mavericks,2019,43,32,20,18,23,14,820569.0,20013.0,18073.0,19043.0,1451.5087841707318
Philadelphia 76ers,2019,43,30,31,4,12,26,838092.0,20441.0,17895.0,19168.0,1596.9047565487804
Brooklyn Nets,2019,35,37,20,16,15,21,612597.0,14941.0,18085.0,16513.0,1464.1244963658537
Portland Trail Blazers,2019,35,39,21,15,14,24,799345.0,19496.0,17992.0,18753.0,1592.6596198414634
Memphis Grizzlies,2019,34,39,20,17,14,22,607564.0,15578.0,17579.0,16604.0,1427.5926208292683
Phoenix Suns,2019,34,39,17,22,17,17,627023.0,15293.0,17982.0,16638.0,1298.0940389634145
Orlando Magic,2019,33,40,18,17,15,23,720024.0,17561.0,17659.0,17610.0,1450.6626194390244
San Antonio Spurs,2019,32,39,19,15,13,24,750616.0,18307.0,17381.0,17844.0,1543.6960401219512
Sacramento Kings,2019,31,41,16,19,15,22,700975.0,17096.0,17199.0,17148.0,1462.3364218780487
New Orleans Pelicans,2019,30,42,15,21,15,21,656183.0,16004.0,17667.0,16835.0,1521.8247923902438
Washington Wizards,2019,25,47,16,20,9,27,716996.0,17487.0,17509.0,17498.0,1457.6158119268293
Charlotte Hornets,2019,23,42,10,21,13,21,676570.0,16501.0,17648.0,17074.0,1486.7516903048781
Chicago Bulls,2019,22,43,14,20,8,23,823475.0,20084.0,17822.0,18953.0,1327.994854317073
New York Knicks,2019,21,45,11,22,10,23,779087.0,19002.0,17566.0,18284.0,1323.295639695122
Atlanta Hawks,2019,20,47,14,20,6,27,628440.0,15327.0,17786.0,16557.0,1360.4770076463415
Detroit Pistons,2019,20,46,11,22,9,24,675963.0,16486.0,17819.0,17153.0,1487.4454116219513
Cleveland Cavaliers,2019,19,46,11,25,8,21,793337.0,19349.0,17632.0,18490.0,1365.4280904999998
Minnesota Timberwolves,2019,19,45,8,24,11,21,627543.0,15305.0,17641.0,16473.0,1508.7096391707316
Golden State Warriors,2019,15,50,8,26,7,24,803436.0,19596.0,18790.0,19193.0,1657.8574195487806
Utah Jazz,2020,52,20,31,5,21,15,567486.0,18306.0,17261.0,17767.0,1593.4901712777778
Phoenix Suns,2020,51,21,27,9,24,12,550633.0,15732.0,17660.0,16622.0,1426.5631319726028
Philadelphia 76ers,2020,49,23,29,7,20,16,639491.0,20628.0,17706.0,19122.0,1590.3065128630137
Brooklyn Nets,2020,48,24,28,8,20,16,524907.0,16403.0,17910.0,17157.0,1470.7638625
Denver Nuggets,2020,47,25,25,11,22,14,633153.0,19186.0,17163.0,18190.0,1599.2193979726028
Los Angeles Clippers,2020,47,25,26,10,21,15,610176.0,19068.0,17855.0,18461.0,1600.8786633055556
Milwaukee Bucks,2020,46,26,26,10,20,16,549036.0,17710.0,17892.0,17805.0,1723.5882933561643
Dallas Mavericks,2020,42,30,21,15,21,15,682096.0,20061.0,18249.0,19169.0,1561.7659627733333
Los Angeles Lakers,2020,42,30,21,15,21,15,588907.0,18997.0,18877.0,18936.0,1619.528673605634
Portland Trail Blazers,2020,42,30,20,16,22,14,608634.0,19633.0,17941.0,18748.0,1523.0217798133335
Atlanta Hawks,2020,41,31,25,11,16,20,545453.0,16042.0,17786.0,16901.0,1361.2837364626866
New York Knicks,2020,41,31,25,11,16,20,620789.0,18811.0,17767.0,18289.0,1314.5955611363638
Miami Heat,2020,40,32,21,15,19,17,629771.0,19680.0,18127.0,18891.0,1573.126763
Golden State Warriors,2020,39,33,25,11,14,22,614176.0,18064.0,17454.0,17773.0,1422.4097739076922
Memphis Grizzlies,2020,38,34,18,18,20,16,523297.0,15857.0,17508.0,16670.0,1466.6994563783785
Boston Celtics,2020,36,36,21,15,15,21,610864.0,19089.0,18409.0,18749.0,1633.6059741944443
Washington Wizards,2020,34,38,19,17,15,21,532702.0,16646.0,17587.0,17117.0,1406.2392845833333
Indiana Pacers,2020,34,38,13,23,21,15,529002.0,16531.0,17297.0,16914.0,1552.5651334931506
Charlotte Hornets,2020,33,39,18,18,15,21,478591.0,15438.0,17564.0,16550.0,1407.8776473230769
San Antonio Spurs,2020,33,39,14,22,19,17,550515.0,18350.0,17588.0,17951.0,1509.5482207042255
Chicago Bulls,2020,31,41,15,21,16,20,639352.0,18804.0,17767.0,18310.0,1372.3913757692308
New Orleans Pelicans,2020,31,41,18,18,13,23,528172.0,16505.0,18234.0,17369.0,1459.8565651527779
Sacramento Kings,2020,31,41,16,20,15,21,520663.0,16795.0,17739.0,17282.0,1460.271853611111
Toronto Raptors,2020,27,45,16,20,11,25,633456.0,19795.0,17789.0,18792.0,1670.4151672083333
Minnesota Timberwolves,2020,23,49,13,23,10,26,482112.0,15066.0,17463.0,16264.0,1427.73469809375
Cleveland Cavaliers,2020,22,50,13,23,9,27,623576.0,17816.0,18254.0,18014.0,1322.0644144769233
Oklahoma City Thunder,2020,22,50,10,26,12,24,600699.0,18203.0,17855.0,18034.0,1568.0269698472223
Orlando Magic,2020,21,51,11,25,10,26,529870.0,17092.0,17243.0,17171.0,1498.159581630137
Detroit Pistons,2020,20,52,13,23,7,29,509463.0,15438.0,17641.0,16539.0,1421.211653848485
Houston Rockets,2020,17,55,9,27,8,28,578458.0,18076.0,18072.0,18074.0,1622.1347768194444
Phoenix Suns,2021,64,18,32,9,32,9,104027.0,3715.0,2951.0,3397.0,1611.8879086250001
Memphis Grizzlies,2021,56,26,30,11,26,15,61449.0,2194.0,2928.0,2500.0,1540.794885756757
Golden State Warriors,2021,53,29,31,10,22,19,33457.0,3041.0,2873.0,2939.0,1473.2762382567566
Miami Heat,2021,53,29,29,12,24,17,0.0,0.0,3272.0,3108.0,1526.2715681666666
Dallas Mavericks,2021,52,30,29,12,23,18,94849.0,3648.0,2316.0,3140.0,1548.736805861111
Boston Celtics,2021,51,31,28,13,23,18,30067.0,2312.0,2781.0,2607.0,1557.715009260274
Milwaukee Bucks,2021,51,31,27,14,24,17,64780.0,2591.0,2644.0,2612.0,1618.067575847222
Philadelphia 76ers,2021,51,31,24,17,27,14,68583.0,3810.0,2693.0,3284.0,1592.3390785416666
Utah Jazz,2021,49,33,29,12,20,21,151300.0,4450.0,3104.0,4077.0,1649.2702002222222
Denver Nuggets,2021,48,34,23,18,25,16,54554.0,3636.0,2481.0,3023.0,1604.352919
Toronto Raptors,2021,48,34,24,17,24,17,26024.0,2365.0,2046.0,2152.0,1540.2865786666666
Chicago Bulls,2021,46,36,27,14,19,22,13655.0,3413.0,2343.0,2538.0,1435.8386840277778
Minnesota Timberwolves,2021,46,36,26,15,20,21,15774.0,1434.0,2307.0,1937.0,1346.1751472222222
Brooklyn Nets,2021,44,38,20,21,24,17,30491.0,1524.0,3005.0,2182.0,1565.7449893333333
Cleveland Cavaliers,2021,44,38,25,16,19,22,91476.0,2950.0,2616.0,2828.0,1363.5930750833331
Atlanta Hawks,2021,43,39,27,14,16,25,59288.0,2195.0,2786.0,2397.0,1488.9996654722222
Charlotte Hornets,2021,43,39,22,19,21,20,68255.0,3412.0,2475.0,2981.0,1466.2906534657534
Los Angeles Clippers,2021,42,40,25,16,17,24,13901.0,1737.0,2932.0,2590.0,1619.0943532361111
New York Knicks,2021,37,45,17,24,20,21,42131.0,1755.0,2803.0,2244.0,1488.3450193194444
New Orleans Pelicans,2021,36,46,19,22,17,24,93120.0,2586.0,2793.0,2662.0,1499.3380335694444
Washington Wizards,2021,35,47,21,20,14,27,21331.0,2666.0,2678.0,2675.0,1418.9265312567568
San Antonio Spurs,2021,34,48,16,25,18,23,61053.0,3052.0,3170.0,3111.0,1499.5852558630136
Los Angeles Lakers,2021,33,49,21,20,12,29,23313.0,2331.0,3015.0,2762.0,1626.5992642328767
Sacramento Kings,2021,30,52,16,25,14,27,0.0,0.0,3007.0,2660.0,1439.3665014166666
Portland Trail Blazers,2021,27,55,17,24,10,31,7756.0,1939.0,3420.0,3138.0,1520.9825180694445
Indiana Pacers,2021,25,57,16,25,9,32,0.0,0.0,3030.0,2840.0,1514.932184837838
Oklahoma City Thunder,2021,24,58,12,29,12,29,0.0,0.0,2463.0,2203.0,1402.0020928333333
Detroit Pistons,2021,23,59,13,28,10,31,14250.0,647.0,2946.0,1579.0,1387.78805475
Orlando Magic,2021,22,60,12,29,10,31,130712.0,3630.0,2954.0,3405.0,1388.3652556666666
Houston Rockets,2021,20,62,11,30,9,32,117009.0,3250.0,3282.0,3259.0,1405.8393944722222
Milwaukee Bucks,2022,58,24,32,9,26,15,715581.0,17453.0,17656.0,17555.0,1596.9416292682927
Boston Celtics,2022,57,25,32,9,25,16,766240.0,19156.0,17583.0,18360.0,1574.1577592439025
Philadelphia 76ers,2022,54,28,29,12,25,16,846867.0,20655.0,16589.0,18622.0,1594.4868186707317
Denver Nuggets,2022,53,29,34,7,19,22,695262.0,16957.0,16864.0,16911.0,1566.6713952073171
Cleveland Cavaliers,2022,51,31,31,10,20,21,758228.0,18493.0,17134.0,17813.0,1517.0070985833333
Memphis Grizzlies,2022,51,31,35,6,16,25,646785.0,15775.0,17740.0,16757.0,1578.2373011097561
Sacramento Kings,2022,48,34,23,18,25,16,577583.0,14439.0,16598.0,15532.0,1398.1636904390243
New York Knicks,2022,47,35,23,18,24,17,763484.0,18621.0,17722.0,18177.0,1497.6917691585365
Brooklyn Nets,2022,45,37,23,18,22,19,711539.0,17354.0,17456.0,17405.0,1544.6170625301206
Phoenix Suns,2022,45,37,28,13,17,24,679252.0,16567.0,17403.0,16979.0,1690.8895782439024
Golden State Warriors,2022,44,38,33,8,11,30,740624.0,18064.0,18111.0,18087.0,1622.7499756707318
Los Angeles Clippers,2022,44,38,23,18,21,20,694005.0,16926.0,16910.0,16918.0,1521.6993192261905
Miami Heat,2022,44,38,27,14,17,24,804761.0,19628.0,17294.0,18476.0,1588.3577262926829
Los Angeles Lakers,2022,43,39,23,18,20,21,764631.0,18649.0,18179.0,18414.0,1466.4145455853659
Minnesota Timberwolves,2022,42,40,22,19,20,21,657148.0,16028.0,16811.0,16419.0,1516.4265603373494
New Orleans Pelicans,2022,42,40,27,14,15,26,635941.0,15510.0,16727.0,16103.0,1471.5165540119046
Atlanta Hawks,2022,41,41,24,17,17,24,672742.0,16408.0,17073.0,16736.0,1531.8932632380952
Toronto Raptors,2022,41,41,27,14,14,27,547343.0,18873.0,17233.0,17913.0,1529.4100390487806
Chicago Bulls,2022,40,42,22,19,18,23,856148.0,20881.0,18198.0,19556.0,1529.7958517317072
Oklahoma City Thunder,2022,40,42,24,17,16,25,595112.0,14877.0,16638.0,15768.0,1325.1204212195123
Dallas Mavericks,2022,38,44,23,18,15,26,809315.0,19739.0,17092.0,18415.0,1565.2994011219512
Utah Jazz,2022,37,45,23,18,14,27,750546.0,18306.0,16898.0,17610.0,1627.9696033048779
Indiana Pacers,2022,35,47,20,21,15,26,588743.0,14359.0,16794.0,15577.0,1454.361303512195
Washington Wizards,2022,35,47,19,22,16,25,637215.0,15541.0,16939.0,16231.0,1459.2417779512195
Orlando Magic,2022,34,48,20,21,14,27,622881.0,15192.0,17062.0,16127.0,1317.3298178780487
Portland Trail Blazers,2022,33,49,17,24,16,25,705608.0,17209.0,16559.0,16888.0,1447.0783336585366
Charlotte Hornets,2022,27,55,13,28,14,27,700755.0,17091.0,17503.0,17294.0,1497.2482008192771
Houston Rockets,2022,22,60,14,27,8,33,638977.0,15584.0,16655.0,16120.0,1312.6018159390244
San Antonio Spurs,2022,22,60,14,27,8,33,615588.0,15014.0,16939.0,15965.0,1476.6534712409639
Detroit Pistons,2022,17,65,9,32,8,33,663556.0,16184.0,16752.0,16468.0,1333.763010195122
Boston Celtics,2023,64,18,37,4,27,14,766240.0,19156.0,18830.0,18991.0,1653.7604993658535
Denver Nuggets,2023,57,25,33,8,24,17,788635.0,19235.0,17628.0,18431.0,1575.0368153658537
Oklahoma City Thunder,2023,57,25,33,8,24,17,636903.0,15534.0,17948.0,16726.0,1465.3610218690476
Minnesota Timberwolves,2023,56,26,30,11,26,15,687510.0,16768.0,17499.0,17133.0,1511.483018952381
Los Angeles Clippers,2023,51,31,25,16,26,15,720543.0,17574.0,17625.0,17599.0,1504.7931547317073
Dallas Mavericks,2023,50,32,25,16,25,16,827282.0,20177.0,18138.0,19158.0,1538.5409607439024
New York Knicks,2023,50,32,27,14,23,18,795110.0,19392.0,18467.0,18930.0,1549.7685927439024
Milwaukee Bucks,2023,49,33,31,11,18,22,718786.0,17531.0,18296.0,17913.0,1599.563114487805
New Orleans Pelicans,2023,49,33,21,19,28,14,687691.0,16772.0,18021.0,17397.0,1545.5371317710842
Phoenix Suns,2023,49,33,25,16,24,17,682840.0,17071.0,18294.0,17690.0,1568.8550770487805
Cleveland Cavaliers,2023,48,34,26,15,22,19,777280.0,19432.0,18093.0,18754.0,1578.6690262439024
Indiana Pacers,2023,47,35,26,15,21,20,641562.0,15647.0,17900.0,16774.0,1437.8813964268293
Los Angeles Lakers,2023,47,35,28,14,19,21,763168.0,18613.0,18777.0,18695.0,1479.9394713614458
Orlando Magic,2023,47,35,29,12,18,23,728405.0,17765.0,18013.0,17888.0,1408.1684875243902
Philadelphia 76ers,2023,47,35,25,16,22,19,839261.0,20469.0,17910.0,19190.0,1598.5300319512196
Miami Heat,2023,46,36,22,19,24,17,807190.0,19687.0,18369.0,19028.0,1547.4852094285714
Golden State Warriors,2023,46,36,21,20,25,16,740624.0,18064.0,19772.0,18907.0,1571.9130478658537
Sacramento Kings,2023,46,36,24,17,22,19,715491.0,17451.0,17534.0,17492.0,1508.042812792683
Houston Rockets,2023,41,41,27,14,14,27,668865.0,16313.0,17677.0,16995.0,1320.3923123414634
Chicago Bulls,2023,39,43,20,21,19,22,841632.0,20527.0,18243.0,19385.0,1493.863854547619
Atlanta Hawks,2023,36,46,21,20,15,26,719787.0,17555.0,18053.0,17804.0,1517.720844433735
Brooklyn Nets,2023,32,50,20,21,12,29,724439.0,17669.0,18312.0,17990.0,1541.086745609756
Utah Jazz,2023,31,51,21,20,10,31,728240.0,18206.0,17881.0,18041.0,1508.5272321707318
Memphis Grizzlies,2023,27,55,9,32,18,23,707836.0,17264.0,18162.0,17713.0,1604.446217829268
Toronto Raptors,2023,25,57,14,27,11,30,811261.0,19786.0,17755.0,18771.0,1526.9972582530122
San Antonio Spurs,2023,22,60,12,29,10,31,694434.0,16937.0,17649.0,17293.0,1357.9643749512195
Charlotte Hornets,2023,21,61,11,30,10,31,702052.0,17123.0,18032.0,17578.0,1420.1636629390243
Portland Trail Blazers,2023,21,61,11,30,10,31,767374.0,18716.0,17786.0,18257.0,1415.1682325365855
Washington Wizards,2023,15,67,7,34,8,33,710481.0,17328.0,17753.0,17541.0,1468.3575819512196
Detroit Pistons,2023,14,68,7,33,7,35,759715.0,18529.0,17866.0,18197.0,1344.7894750243904
